CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma
John O'Hurley,1,1,Rank,20.0,1,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,1,Rank,13.0,3,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Evander Holyfield,1,1,Rank,18.0,2,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Rachel Hunter,1,1,Rank,20.0,1,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey McIntyre,1,1,Rank,20.0,1,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Trista Sutter,1,1,Rank,18.0,2,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
John O'Hurley,1,2,Rank,26.0,1,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,2,Rank,17.0,5,1-5,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Evander Holyfield,1,2,Rank,14.0,6,1-4,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Rachel Hunter,1,2,Rank,24.0,2,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey McIntyre,1,2,Rank,21.0,3,1-6,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Trista Sutter,1,2,Rank,19.0,4,3-6,,,,,,,,,Eliminated (Place 6),120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
John O'Hurley,1,3,Rank,24.0,2,1-5,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,3,Rank,21.0,4,1-5,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Evander Holyfield,1,3,Rank,13.0,5,1-5,,,,,,,,,Eliminated (Place 5),120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Rachel Hunter,1,3,Rank,26.0,1,1-5,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey McIntyre,1,3,Rank,22.0,3,1-5,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
John O'Hurley,1,4,Rank,21.0,3,1-3,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,4,Rank,26.0,1,1-4,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Rachel Hunter,1,4,Rank,25.0,2,3-4,,,,,,,,,Eliminated (Place 4),120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey McIntyre,1,4,Rank,20.0,4,1-2,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
John O'Hurley,1,5,Rank,27.0,1,1-3,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,5,Rank,23.5,2,1-3,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey McIntyre,1,5,Rank,22.5,3,1-3,,,,,,,,,Eliminated (Place 3),120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
John O'Hurley,1,6,Rank,27.0,2,1-2,,,,,,,,,Eliminated (Place 2),120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,6,Rank,27.5,1,1-2,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tatum O'Neal,2,1,Rank,23.0,2,1-10,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tia Carrere,2,1,Rank,20.0,5,1-10,,,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03
