CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
John O'Hurley,1,1,Rank,20.0,1,1-6,16.65,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.666666666666664,3.5
Kelly Monaco,1,1,Rank,13.0,3,1-6,16.67,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.666666666666664,3.5
Evander Holyfield,1,1,Rank,18.0,2,1-6,16.67,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.666666666666664,3.5
Rachel Hunter,1,1,Rank,20.0,1,1-6,16.67,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.666666666666664,3.5
Joey McIntyre,1,1,Rank,20.0,1,1-6,16.67,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.666666666666664,3.5
Trista Sutter,1,1,Rank,18.0,2,1-6,16.67,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.666666666666664,3.5
John O'Hurley,1,2,Rank,26.0,1,1-6,14.6,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.5985401459854,3.5
Kelly Monaco,1,2,Rank,17.0,5,1-5,20.44,2.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,20.437956204379564,2.5
Evander Holyfield,1,2,Rank,14.0,6,1-4,25.54,2.0,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,25.547445255474457,2.0
Rachel Hunter,1,2,Rank,24.0,2,1-6,14.6,3.5,,,,,,,Safe,120.0,4.0,2.0,1,1,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.5985401459854,3.5
